"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"REDINGTON","EQ","21-Nov-2023","160.30","161.00","161.20","159.75","159.75","160.10","160.15","7,24,171","11,59,77,746.15","10,467","4,92,534","68.01"
"REDINGTON","EQ","22-Nov-2023","160.10","160.00","160.55","157.60","158.60","159.05","159.36","11,98,624","19,10,12,024.70","19,440","7,94,898","66.32"
"REDINGTON","EQ","23-Nov-2023","159.05","159.40","159.60","157.10","158.00","158.15","158.47","5,43,513","8,61,29,636.50","7,998","3,53,210","64.99"
"REDINGTON","EQ","24-Nov-2023","158.15","158.15","163.45","158.00","162.00","162.25","162.25","24,65,789","40,00,70,018.10","25,895","15,30,602","62.07"
"REDINGTON","EQ","28-Nov-2023","162.25","164.00","164.45","158.20","159.00","158.85","160.27","16,91,401","27,10,88,425.45","19,225","9,58,852","56.69"
"REDINGTON","EQ","29-Nov-2023","158.85","159.50","160.70","157.50","160.00","160.15","159.39","14,68,381","23,40,47,049.75","16,489","9,26,345","63.09"
"REDINGTON","EQ","30-Nov-2023","160.15","160.00","162.85","158.00","160.90","160.70","160.56","22,95,119","36,85,11,081.45","29,251","16,08,443","70.08"
"REDINGTON","EQ","01-Dec-2023","160.70","160.80","162.85","159.00","159.35","159.65","160.72","7,45,337","11,97,90,141.45","16,331","3,91,990","52.59"
"REDINGTON","EQ","04-Dec-2023","159.65","160.50","161.90","158.45","161.10","161.35","160.48","14,65,434","23,51,66,778.50","24,063","8,19,615","55.93"
"REDINGTON","EQ","05-Dec-2023","161.35","162.05","167.00","162.00","166.40","166.10","165.25","39,07,234","64,56,80,014.75","43,501","21,45,944","54.92"
"REDINGTON","EQ","06-Dec-2023","166.10","166.20","167.00","163.05","165.60","165.20","164.76","18,24,816","30,06,58,195.85","22,316","10,01,296","54.87"
"REDINGTON","EQ","07-Dec-2023","165.20","165.75","169.15","164.60","169.05","168.70","167.42","20,32,617","34,03,10,749.60","37,635","12,24,812","60.26"
"REDINGTON","EQ","08-Dec-2023","168.70","170.00","175.65","168.00","168.95","168.85","172.07","37,61,691","64,72,56,336.15","45,401","19,91,626","52.94"
"REDINGTON","EQ","11-Dec-2023","168.85","169.65","171.65","168.05","170.00","170.15","170.16","12,34,810","21,01,16,290.20","17,301","5,94,120","48.11"
"REDINGTON","EQ","12-Dec-2023","170.15","171.15","176.10","168.50","175.15","175.30","174.36","46,30,751","80,74,06,717.65","40,728","21,09,089","45.55"
"REDINGTON","EQ","13-Dec-2023","175.30","177.10","177.35","172.75","173.80","173.60","174.36","21,01,871","36,64,75,212.75","22,180","11,01,716","52.42"
"REDINGTON","EQ","14-Dec-2023","173.60","175.90","175.90","173.50","173.50","173.70","174.00","13,46,216","23,42,46,952.05","17,899","10,03,573","74.55"
"REDINGTON","EQ","15-Dec-2023","173.70","174.25","176.00","173.20","175.10","175.40","174.58","23,99,644","41,89,35,491.75","43,543","16,40,748","68.37"
"REDINGTON","EQ","18-Dec-2023","175.40","175.10","177.40","174.00","176.30","175.55","176.01","18,91,839","33,29,87,094.30","15,654","13,04,115","68.93"
"REDINGTON","EQ","19-Dec-2023","175.55","176.55","178.95","174.85","175.65","175.40","175.99","16,93,840","29,81,02,369.40","22,254","9,90,497","58.48"
"REDINGTON","EQ","20-Dec-2023","175.40","175.60","177.00","170.80","172.25","173.65","174.98","21,21,243","37,11,65,145.55","27,631","14,59,470","68.80"
"REDINGTON","EQ","21-Dec-2023","173.65","171.00","176.95","167.75","175.35","175.90","174.51","17,50,988","30,55,61,460.60","35,293","9,86,268","56.33"
"REDINGTON","EQ","22-Dec-2023","175.90","175.90","181.00","173.50","175.75","175.80","178.12","35,92,738","63,99,47,529.75","41,068","21,51,627","59.89"
"REDINGTON","EQ","26-Dec-2023","175.80","175.00","178.50","174.05","175.90","175.70","176.75","20,78,755","36,74,25,864.50","53,350","12,75,125","61.34"
"REDINGTON","EQ","27-Dec-2023","175.70","175.70","177.45","174.00","177.25","176.00","175.52","26,08,658","45,78,68,086.30","54,670","19,03,597","72.97"
"REDINGTON","EQ","28-Dec-2023","176.00","176.00","180.50","175.35","177.50","177.90","178.46","26,79,550","47,81,80,924.80","45,612","10,97,191","40.95"
"REDINGTON","EQ","29-Dec-2023","177.90","178.00","179.00","175.50","176.80","176.80","177.42","13,87,420","24,61,61,769.35","27,737","6,17,495","44.51"
"REDINGTON","EQ","01-Jan-2024","176.80","177.25","177.70","174.50","175.05","175.00","175.64","7,47,804","13,13,41,282.30","11,709","4,09,642","54.78"
"REDINGTON","EQ","02-Jan-2024","175.00","175.00","178.30","174.50","176.45","176.75","176.59","10,86,891","19,19,35,591.75","14,566","5,71,604","52.59"
"REDINGTON","EQ","03-Jan-2024","176.75","177.00","178.40","174.05","174.90","175.60","176.03","17,02,463","29,96,80,602.10","10,790","13,28,156","78.01"
"REDINGTON","EQ","04-Jan-2024","175.60","176.00","176.90","174.50","175.00","174.80","175.70","14,39,024","25,28,33,618.35","13,319","10,68,922","74.28"
"REDINGTON","EQ","05-Jan-2024","174.80","175.25","176.30","174.40","175.70","175.40","175.48","13,99,990","24,56,65,842.45","14,335","10,38,131","74.15"
"REDINGTON","EQ","08-Jan-2024","175.40","175.90","183.90","175.35","181.50","181.45","181.47","41,92,894","76,08,70,610.00","41,297","18,10,393","43.18"
"REDINGTON","EQ","09-Jan-2024","181.45","183.30","184.45","179.00","179.90","179.90","182.21","16,04,230","29,23,02,494.45","18,896","8,43,628","52.59"
"REDINGTON","EQ","10-Jan-2024","179.90","179.85","180.75","176.40","177.05","177.65","177.87","7,65,081","13,60,84,783.25","14,327","4,27,904","55.93"
"REDINGTON","EQ","11-Jan-2024","177.65","179.00","182.35","178.00","179.70","179.70","180.40","7,92,021","14,28,80,943.00","15,731","3,91,057","49.37"
"REDINGTON","EQ","12-Jan-2024","179.70","181.15","182.30","177.10","178.95","177.95","179.64","9,44,331","16,96,42,478.30","16,218","5,18,620","54.92"
"REDINGTON","EQ","15-Jan-2024","177.95","179.20","181.00","177.40","180.30","180.05","179.86","8,41,103","15,12,83,478.55","12,876","5,02,232","59.71"
"REDINGTON","EQ","16-Jan-2024","180.05","180.95","180.95","176.40","177.00","178.95","179.00","6,57,269","11,76,51,415.25","13,817","3,70,963","56.44"
"REDINGTON","EQ","17-Jan-2024","178.95","176.70","178.95","175.00","176.00","176.45","176.54","9,20,494","16,25,05,171.45","14,757","4,54,158","49.34"
"REDINGTON","EQ","18-Jan-2024","176.45","175.80","178.20","173.80","176.30","176.95","176.30","7,41,716","13,07,64,444.00","15,506","3,88,999","52.45"
"REDINGTON","EQ","19-Jan-2024","176.95","177.75","180.20","177.20","178.25","178.35","178.58","6,28,018","11,21,53,284.60","16,344","3,57,243","56.88"
"REDINGTON","EQ","20-Jan-2024","178.35","179.25","180.50","177.50","179.70","180.10","179.46","6,70,115","12,02,60,079.70","10,164","3,69,527","55.14"
"REDINGTON","EQ","23-Jan-2024","180.10","181.00","182.75","173.65","175.20","174.95","177.10","12,04,879","21,33,82,852.15","22,847","6,71,108","55.70"
"REDINGTON","EQ","24-Jan-2024","174.95","174.80","179.25","173.00","175.00","175.65","176.64","8,41,383","14,86,24,654.05","15,854","4,41,800","52.51"
"REDINGTON","EQ","25-Jan-2024","175.65","175.65","177.55","172.00","172.85","173.00","174.59","15,64,228","27,31,06,242.15","15,315","11,42,684","73.05"
