Date,Close Price,Week Number,Column 1,Month Number,Column 2,Daily Return,Weekly Return,Monthly Return
21-Dec-22,18199.1,52,18420.45,12,18812.5,-1.012765633,,
22-Dec-22,18127.35,52,18420.45,12,18812.5,-0.394250265,,
23-Dec-22,17806.8,52,18420.45,12,18812.5,-1.768322452,,
26-Dec-22,18014.6,53,18014.6,12,18812.5,1.166969922,-2.203257792,
27-Dec-22,18132.3,53,18014.6,12,18812.5,0.653358942,,
28-Dec-22,18122.5,53,18014.6,12,18812.5,-0.054047198,,
29-Dec-22,18191,53,18014.6,12,18812.5,0.37798317,,
30-Dec-22,18105.3,53,18014.6,12,18812.5,-0.471112088,,
02-Jan-23,18197.45,1,18197.45,1,18197.45,0.508966988,1.015010047,-3.269368771
03-Jan-23,18232.55,1,18197.45,1,18197.45,0.192884168,,
04-Jan-23,18042.95,1,18197.45,1,18197.45,-1.039898423,,
05-Jan-23,17992.15,1,18197.45,1,18197.45,-0.281550412,,
06-Jan-23,17859.45,1,18197.45,1,18197.45,-0.737543873,,
09-Jan-23,18101.2,2,18101.2,1,18197.45,1.353625112,-0.528920261,
10-Jan-23,17914.15,2,18101.2,1,18197.45,-1.033356905,,
11-Jan-23,17895.7,2,18101.2,1,18197.45,-0.102991211,,
12-Jan-23,17858.2,2,18101.2,1,18197.45,-0.209547545,,
13-Jan-23,17956.6,2,18101.2,1,18197.45,0.55100738,,
16-Jan-23,17894.85,3,17894.85,1,18197.45,-0.3438847,-1.13997967,
17-Jan-23,18053.3,3,17894.85,1,18197.45,0.885450283,,
18-Jan-23,18165.35,3,17894.85,1,18197.45,0.62066215,,
19-Jan-23,18107.85,3,17894.85,1,18197.45,-0.316536703,,
20-Jan-23,18027.65,3,17894.85,1,18197.45,-0.442901835,,
23-Jan-23,18118.55,4,18118.55,1,18197.45,0.504225454,1.25008033,
24-Jan-23,18118.3,4,18118.55,1,18197.45,-0.001379801,,
25-Jan-23,17891.95,4,18118.55,1,18197.45,-1.249289392,,
27-Jan-23,17604.35,4,18118.55,1,18197.45,-1.607426804,,
30-Jan-23,17648.95,5,17648.95,1,18197.45,0.253346474,-2.591818882,
31-Jan-23,17662.15,5,17648.95,1,18197.45,0.074791985,,
01-Feb-23,17616.3,5,17648.95,2,17616.3,-0.25959467,,-3.19357932
02-Feb-23,17610.4,5,17648.95,2,17616.3,-0.033491709,,
03-Feb-23,17854.05,5,17648.95,2,17616.3,1.383557443,,
06-Feb-23,17764.6,6,17764.6,2,17616.3,-0.501006774,0.655279776,
07-Feb-23,17721.5,6,17764.6,2,17616.3,-0.24261734,,
08-Feb-23,17871.7,6,17764.6,2,17616.3,0.847558051,,
09-Feb-23,17893.45,6,17764.6,2,17616.3,0.12170079,,
10-Feb-23,17856.5,6,17764.6,2,17616.3,-0.206500144,,
13-Feb-23,17770.9,7,17770.9,2,17616.3,-0.479377258,0.035463788,
14-Feb-23,17929.85,7,17770.9,2,17616.3,0.894439786,,
15-Feb-23,18015.85,7,17770.9,2,17616.3,0.479647069,,
16-Feb-23,18035.85,7,17770.9,2,17616.3,0.111013358,,
17-Feb-23,17944.2,7,17770.9,2,17616.3,-0.508154592,,
20-Feb-23,17844.6,8,17844.6,2,17616.3,-0.555054001,0.414722946,
21-Feb-23,17826.7,8,17844.6,2,17616.3,-0.100310458,,
