,Date,Open,High,Low,Close,Shares Traded,Turnover (₹ Cr)
183,24-MAR-2023,17076.2,17109.45,16917.35,16945.05,228038299.0,19019.88
184,27-MAR-2023,16984.3,17091.0,16918.55,16985.7,218418670.0,18466.56
185,28-MAR-2023,17031.75,17061.75,16913.75,16951.7,238840919.0,20942.5
186,29-MAR-2023,16977.3,17126.15,16940.6,17080.7,345911087.0,27261.74
187,31-MAR-2023,17210.35,17381.6,17204.65,17359.75,263889033.0,24970.98
188,03-APR-2023,17427.95,17428.05,17312.75,17398.05,230170687.0,20359.58
189,05-APR-2023,17422.3,17570.55,17402.7,17557.05,248345193.0,23911.75
190,06-APR-2023,17533.85,17638.7,17502.85,17599.15,242708337.0,23543.21
191,10-APR-2023,17634.9,17694.1,17597.95,17624.05,254819382.0,21092.06
192,11-APR-2023,17704.8,17748.75,17655.15,17722.3,304263454.0,25841.64
193,12-APR-2023,17759.55,17825.75,17717.25,17812.4,232816318.0,22851.93
194,13-APR-2023,17807.3,17842.15,17729.65,17828.0,285764798.0,26460.2
195,17-APR-2023,17863.0,17863.0,17574.05,17706.85,357401212.0,35118.57
196,18-APR-2023,17766.6,17766.6,17610.2,17660.15,258856690.0,23032.99
197,19-APR-2023,17653.35,17666.15,17579.85,17618.75,281463379.0,21562.08
198,20-APR-2023,17638.6,17684.45,17584.35,17624.45,215103396.0,19457.45
199,21-APR-2023,17639.75,17663.2,17553.95,17624.05,230156645.0,19091.44
200,24-APR-2023,17707.55,17754.5,17612.5,17743.4,255740393.0,23142.94
201,25-APR-2023,17761.55,17807.45,17716.85,17769.25,297445999.0,28819.53
202,26-APR-2023,17767.3,17827.75,17711.2,17813.6,233008677.0,21295.14
203,27-APR-2023,17813.1,17931.6,17797.9,17915.05,241434660.0,24454.15
204,28-APR-2023,17950.4,18089.15,17885.3,18065.0,290263674.0,27026.12
205,02-MAY-2023,18124.8,18180.25,18101.75,18147.65,265216308.0,23615.47
206,03-MAY-2023,18113.8,18116.35,18042.4,18089.85,226171254.0,19079.79
207,04-MAY-2023,18081.0,18267.45,18066.7,18255.8,226643581.0,21889.48
208,05-MAY-2023,18117.3,18216.95,18055.45,18069.0,239702311.0,26152.88
209,08-MAY-2023,18120.6,18286.95,18100.3,18264.4,228399379.0,22687.94
210,09-MAY-2023,18303.4,18344.2,18229.65,18265.95,245368649.0,23478.06
211,10-MAY-2023,18313.6,18326.75,18211.95,18315.1,220450874.0,21416.41
212,11-MAY-2023,18357.8,18389.7,18270.4,18297.0,248932544.0,26440.1
213,12-MAY-2023,18273.75,18342.75,18194.55,18314.8,241702589.0,22046.04
